ENTIDAD,Xochitl,Claudia,Maynez,NULOS,Total Votes,Xochitl %,Claudia %,Maynez %,NULOS %
AGUASCALIENTES,294746.0,270389.0,57054.0,14144.0,636333.0,46.32,42.49,8.97,2.22
BAJA CALIFORNIA,290698.0,862661.0,132914.0,30287.0,1316560.0,22.08,65.52,10.1,2.3
BAJA CALIFORNIA SUR,90838.0,175755.0,26581.0,6443.0,299617.0,30.32,58.66,8.87,2.15
CAMPECHE,62268.0,240693.0,82898.0,9346.0,395205.0,15.76,60.9,20.98,2.36
CHIAPAS,355592.0,1519559.0,162166.0,94634.0,2131951.0,16.68,71.28,7.61,4.44
CHIHUAHUA,495324.0,744823.0,135550.0,36676.0,1412373.0,35.07,52.74,9.6,2.6
CIUDAD DE MEXICO,1862780.0,2978243.0,454084.0,100406.0,5395513.0,34.52,55.2,8.42,1.86
COAHUILA,595270.0,813432.0,84184.0,34747.0,1527633.0,38.97,53.25,5.51,2.27
COLIMA,102288.0,182063.0,45426.0,7097.0,336874.0,30.36,54.04,13.48,2.11
DURANGO,227617.0,402566.0,51520.0,15436.0,697139.0,32.65,57.75,7.39,2.21
GUANAJUATO,1057455.0,1223770.0,278420.0,57357.0,2617002.0,40.41,46.76,10.64,2.19
GUERRERO,276953.0,1039283.0,95579.0,45645.0,1457460.0,19.0,71.31,6.56,3.13
HIDALGO,299831.0,1001963.0,156217.0,36334.0,1494345.0,20.06,67.05,10.45,2.43
JALISCO,1303587.0,1592942.0,631761.0,84830.0,3613120.0,36.08,44.09,17.49,2.35
MEXICO,2177817.0,4916419.0,876926.0,179058.0,8150220.0,26.72,60.32,10.76,2.2
MICHOACAN,562486.0,1033704.0,232501.0,64066.0,1892757.0,29.72,54.61,12.28,3.38
MORELOS,195923.0,578230.0,117582.0,18854.0,910589.0,21.52,63.5,12.91,2.07
NAYARIT,102576.0,306423.0,67984.0,12797.0,489780.0,20.94,62.56,13.88,2.61
NUEVO LEON,839701.0,1062016.0,432115.0,49533.0,2383365.0,35.23,44.56,18.13,2.08
OAXACA,261778.0,1367731.0,119132.0,47299.0,1795940.0,14.58,76.16,6.63,2.63
PUEBLA,694569.0,2066399.0,322725.0,94196.0,3177889.0,21.86,65.02,10.16,2.96
QUERETARO,428194.0,585662.0,109805.0,26797.0,1150458.0,37.22,50.91,9.54,2.33
QUINTANA ROO,129343.0,536134.0,57373.0,16493.0,739343.0,17.49,72.51,7.76,2.23
SAN LUIS POTOSI,330455.0,773086.0,138705.0,41699.0,1283945.0,25.74,60.21,10.8,3.25
SINALOA,301345.0,782221.0,95577.0,26388.0,1205531.0,25.0,64.89,7.93,2.19
SONORA,270687.0,674746.0,99032.0,23814.0,1068279.0,25.34,63.16,9.27,2.23
TABASCO,115104.0,811270.0,61696.0,24801.0,1012871.0,11.36,80.1,6.09,2.45
TAMAULIPAS,390288.0,910332.0,139605.0,31906.0,1472131.0,26.51,61.84,9.48,2.17
TLAXCALA,106484.0,486946.0,98955.0,15194.0,707579.0,15.05,68.82,13.99,2.15
VERACRUZ,810805.0,2300252.0,281570.0,84198.0,3476825.0,23.32,66.16,8.1,2.42
YUCATAN,365357.0,696450.0,81057.0,23358.0,1166222.0,31.33,59.72,6.95,2.0
ZACATECAS,223133.0,369235.0,124548.0,20082.0,736998.0,30.28,50.1,16.9,2.72
