sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA
Nacional|Nacional|PAN|Ricardo Anaya Cortés
Nacional|Nacional|PRI|José Antonio Meade Kuribreña
Nacional|Nacional|PRD|Ricardo Anaya Cortés
Nacional|Nacional|PVEM|José Antonio Meade Kuribreña
Nacional|Nacional|PT|Andrés Manuel López Obrador
Nacional|Nacional|MC|Ricardo Anaya Cortés
Nacional|Nacional|PANAL|José Antonio Meade Kuribreña
Nacional|Nacional|MORENA|Andrés Manuel López Obrador
Nacional|Nacional|PES|Andrés Manuel López Obrador
Nacional|Nacional|PAN-PRD-MC|Ricardo Anaya Cortés
Nacional|Nacional|PAN-PRD|Ricardo Anaya Cortés
Nacional|Nacional|PAN-MC|Ricardo Anaya Cortés
Nacional|Nacional|PRD-MC|Ricardo Anaya Cortés
Nacional|Nacional|PT-MORENA-PES|Andrés Manuel López Obrador
Nacional|Nacional|PT-MORENA|Andrés Manuel López Obrador
Nacional|Nacional|PT-PES|Andrés Manuel López Obrador
Nacional|Nacional|MORENA-PES|Andrés Manuel López Obrador
Nacional|Nacional|PRI-PVEM-NA|José Antonio Meade Kuribreña
Nacional|Nacional|PRI-PVEM|José Antonio Meade Kuribreña
Nacional|Nacional|PRI-NA|José Antonio Meade Kuribreña
Nacional|Nacional|PVEM-NA|José Antonio Meade Kuribreña
Nacional|Nacional|CI_01|Margarita Ester Zavala Gómez del Campo
Nacional|Nacional|CI_02|Jaime Heliodoro Rodríguez Calderón
