PARTIDO_CI,ID_ENTIDAD,ID_DISTRITO_FEDERAL,CANDIDATURA_PROPIETARIA
PAN,Nacional,Nacional,Bertha Xóchitl Gálvez Ruíz
PRI,Nacional,Nacional,Bertha Xóchitl Gálvez Ruíz
PRD,Nacional,Nacional,Bertha Xóchitl Gálvez Ruíz
PVEM,Nacional,Nacional,Claudia Sheinbaum Pardo
PT,Nacional,Nacional,Claudia Sheinbaum Pardo
MC,Nacional,Nacional,Jorge Álvarez Máynez
MORENA,Nacional,Nacional,Claudia Sheinbaum Pardo
PAN-PRI-PRD,Nacional,Nacional,Bertha Xóchitl Gálvez Ruíz
PAN-PRI,Nacional,Nacional,Bertha Xóchitl Gálvez Ruíz
PAN-PRD,Nacional,Nacional,Bertha Xóchitl Gálvez Ruíz
PRI-PRD,Nacional,Nacional,Bertha Xóchitl Gálvez Ruíz
PVEM_PT_MORENA,Nacional,Nacional,Claudia Sheinbaum Pardo
PVEM_PT,Nacional,Nacional,Claudia Sheinbaum Pardo
PVEM_MORENA,Nacional,Nacional,Claudia Sheinbaum Pardo
PT_MORENA,Nacional,Nacional,Claudia Sheinbaum Pardo
