index,ENTIDAD,Xochitl,Claudia,Maynez,Total Votes,X %,C %,M %
0,AGUASCALIENTES,294746.0,270389.0,57054.0,622189.0,47.37,43.46,9.17
1,BAJA CALIFORNIA,290698.0,862661.0,132914.0,1286273.0,22.6,67.07,10.33
2,BAJA CALIFORNIA SUR,90838.0,175755.0,26581.0,293174.0,30.98,59.95,9.07
3,CAMPECHE,62268.0,240693.0,82898.0,385859.0,16.14,62.38,21.48
4,CHIAPAS,355592.0,1519559.0,162166.0,2037317.0,17.45,74.59,7.96
5,CHIHUAHUA,495324.0,744823.0,135550.0,1375697.0,36.01,54.14,9.85
6,CIUDAD DE MEXICO,1862780.0,2978243.0,454084.0,5295107.0,35.18,56.25,8.58
7,COAHUILA,595270.0,813432.0,84184.0,1492886.0,39.87,54.49,5.64
8,COLIMA,102288.0,182063.0,45426.0,329777.0,31.02,55.21,13.77
9,DURANGO,227617.0,402566.0,51520.0,681703.0,33.39,59.05,7.56
10,GUANAJUATO,1057455.0,1223770.0,278420.0,2559645.0,41.31,47.81,10.88
11,GUERRERO,276953.0,1039283.0,95579.0,1411815.0,19.62,73.61,6.77
12,HIDALGO,299831.0,1001963.0,156217.0,1458011.0,20.56,68.72,10.71
13,JALISCO,1303587.0,1592942.0,631761.0,3528290.0,36.95,45.15,17.91
14,MEXICO,2177817.0,4916419.0,876926.0,7971162.0,27.32,61.68,11.0
15,MICHOACAN,562486.0,1033704.0,232501.0,1828691.0,30.76,56.53,12.71
16,MORELOS,195923.0,578230.0,117582.0,891735.0,21.97,64.84,13.19
17,NAYARIT,102576.0,306423.0,67984.0,476983.0,21.51,64.24,14.25
18,NUEVO LEON,839701.0,1062016.0,432115.0,2333832.0,35.98,45.51,18.52
19,OAXACA,261778.0,1367731.0,119132.0,1748641.0,14.97,78.22,6.81
20,PUEBLA,694569.0,2066399.0,322725.0,3083693.0,22.52,67.01,10.47
21,QUERETARO,428194.0,585662.0,109805.0,1123661.0,38.11,52.12,9.77
22,QUINTANA ROO,129343.0,536134.0,57373.0,722850.0,17.89,74.17,7.94
23,SAN LUIS POTOSI,330455.0,773086.0,138705.0,1242246.0,26.6,62.23,11.17
24,SINALOA,301345.0,782221.0,95577.0,1179143.0,25.56,66.34,8.11
25,SONORA,270687.0,674746.0,99032.0,1044465.0,25.92,64.6,9.48
26,TABASCO,115104.0,811270.0,61696.0,988070.0,11.65,82.11,6.24
27,TAMAULIPAS,390288.0,910332.0,139605.0,1440225.0,27.1,63.21,9.69
28,TLAXCALA,106484.0,486946.0,98955.0,692385.0,15.38,70.33,14.29
29,VERACRUZ,810805.0,2300252.0,281570.0,3392627.0,23.9,67.8,8.3
30,YUCATAN,365357.0,696450.0,81057.0,1142864.0,31.97,60.94,7.09
31,ZACATECAS,223133.0,369235.0,124548.0,716916.0,31.12,51.5,17.37
